X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
397044.969999999,139950.32,26008777,2026/01/19 23:07:49+00,2026/01/19 21:23:00+00,2026/01/19 22:14:00+00,1400 - 1499 BLOCK OF COLUMBIA ROAD NW,THEFT F/AUTO,OTHERS,EVENING,1,1A,3,302,Cluster 2,002802 3,002802,Precinct 36,,397044.97,139950.32,38.9274255811,-77.0340792587,923904492,
395460.670000002,137710.59,26008819,2026/01/20 01:46:44+00,2026/01/18 05:01:00+00,2026/01/18 06:00:00+00,2400 - 2499 BLOCK OF N STREET NW,THEFT F/AUTO,OTHERS,EVENING,2,2A,2,207,Cluster 5,005503 2,005503,Precinct 4,,395460.67,137710.59,38.9072426012,-77.0523355881,923904493,
395499.25,139592.960000001,26009059,2026/01/20 15:56:35+00,2026/01/20 14:51:00+00,2026/01/20 14:52:00+00,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,DAY,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,,395499.25,139592.96,38.9241998122,-77.0519031245,923904494,
396835.619999997,138753.719999999,26009076,2026/01/20 16:29:16+00,2026/01/20 15:56:00+00,2026/01/20 16:29:00+00,1921 - 1999 BLOCK OF 16TH STREET NW,THEFT/OTHER,OTHERS,DAY,2,2B,3,301,Cluster 6,004300 3,004300,Precinct 141,,396835.62,138753.72,38.9166454946,-77.0364880981,923904495,
401625.82,141569.710000001,26010500,2026/01/23 17:28:15+00,2026/01/23 16:21:00+00,2026/01/23 17:00:00+00,1700 - 1799 BLOCK OF BUNKER HILL ROAD NE,THEFT F/AUTO,OTHERS,DAY,5,5B,5,503,Cluster 20,009503 2,009503,Precinct 67,,401625.82,141569.71,38.9420169977,-76.9812461871,923904496,
399038.979999997,144843.050000001,26011387,2026/01/25 13:47:39+00,2026/01/25 06:00:00+00,2026/01/25 12:50:00+00,5 - 99 BLOCK OF WHITTIER STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,4,4B,4,401,Cluster 19,001702 2,001702,Precinct 63,,399038.98,144843.05,38.9715050817,-77.0110899404,923904497,
404148.189999998,136897.469999999,26012251,2026/01/28 19:03:43+00,2026/01/28 04:17:00+00,2026/01/28 04:42:00+00,600 - 632 BLOCK OF BARNES STREET NE,THEFT F/AUTO,OTHERS,DAY,7,7D,6,601,Cluster 30,009602 3,009602,Precinct 100,,404148.19,136897.47,38.8999196635,-76.9521789174,923904498,
404308.619999997,136189.84,26012407,2026/01/29 00:44:02+00,2026/01/28 19:30:00+00,2026/01/28 20:00:00+00,3900 - 3928 BLOCK OF MINNESOTA AVENUE NE,ROBBERY,GUN,EVENING,7,7F,6,603,Cluster 32,009603 2,009603,Precinct 102,,404308.62,136189.84,38.8935443043,-76.95033389,923904499,
397700.049999997,136885.32,26012425,2026/01/28 22:57:19+00,2026/01/28 21:08:00+00,2026/01/28 21:30:00+00,1000 - 1099 BLOCK OF H STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397700.05,136885.32,38.8998169908,-77.0265141995,923904500,
401347.32,136871.93,26013099,2026/01/30 15:49:09+00,2026/01/30 15:25:00+00,2026/01/30 15:28:00+00,1400 - 1499 BLOCK OF MARYLAND AVENUE NE,MOTOR VEHICLE THEFT,OTHERS,DAY,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,,401347.32,136871.93,38.8996983452,-76.9844679008,923904501,
397927.729999997,142855.57,26013168,2026/01/31 10:29:52+00,2026/01/30 17:12:00+00,2026/01/30 17:13:00+00,5200 - 5299 BLOCK OF 8TH STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,4,4D,4,403,Cluster 18,002101 3,002101,Precinct 56,,397927.73,142855.57,38.9535994422,-77.0239074922,923904502,
396561.520000003,139643.100000001,26013282,2026/01/31 00:05:24+00,2026/01/30 22:47:00+00,2026/01/30 23:30:00+00,1700 - 1733 BLOCK OF COLUMBIA ROAD NW,THEFT/OTHER,OTHERS,EVENING,1,1C,3,303,Cluster 1,003802 2,003802,Precinct 35,ADAMS MORGAN,396561.52,139643.1,38.9246562879,-77.0396531676,923904503,
400332.759999998,136372.280000001,26015163,2026/02/04 02:16:06+00,2026/02/03 15:00:00+00,2026/02/03 17:00:00+00,402 - 408 BLOCK OF 7TH STREET NE,THEFT F/AUTO,OTHERS,EVENING,6,6C,1,108,Cluster 25,008302 1,008302,Precinct 84,,400332.76,136372.28,38.8951982863,-76.9961641368,923904504,
397616.210000001,142721.039999999,26017352,2026/02/08 20:36:34+00,2026/02/08 18:47:00+00,2026/02/08 19:00:00+00,5100 - 5199 BLOCK OF GEORGIA AVENUE NW,BURGLARY,OTHERS,EVENING,4,4D,4,403,Cluster 18,002101 4,002101,Precinct 56,,397616.21,142721.04,38.9523867696,-77.0275009875,923904505,
400686.229999997,136192.260000002,26017806,2026/02/10 01:54:13+00,2026/02/09 20:39:00+00,2026/02/09 21:41:00+00,1000 - 1099 BLOCK OF C STREET NE,THEFT F/AUTO,OTHERS,EVENING,6,6A,1,108,Cluster 25,008100 2,008100,Precinct 85,,400686.23,136192.26,38.8935763952,-76.9920897205,923904506,
399075.57,128889.309999999,26005265,2026/01/12 16:54:42+00,2026/01/12 16:47:00+00,2026/01/12 16:49:00+00,10 - 199 BLOCK OF DANBURY STREET SW,THEFT/OTHER,OTHERS,DAY,8,8D,7,708,Cluster 39,009807 3,009807,Precinct 126,,399075.57,128889.31,38.8277881418,-77.0106462302,923904520,
397700.630000003,138304.920000002,26005380,2026/01/12 21:02:07+00,2026/01/12 19:59:00+00,2026/01/12 20:45:00+00,1000 - 1099 BLOCK OF R STREET NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,2,2G,3,307,Cluster 7,004901 3,004901,Precinct 21,,397700.63,138304.92,38.9126052431,-77.026512266,923904521,
